Label,Page
a1,http://einstein.biz/
a2,http://www.youtube.com/AlbertEinstein
a3,http://www.instagram.com/AlbertEinstein
a4,http://www.twitter.com/AlbertEinstein
a5,http://www.facebook.com/AlbertEinstein
b1,http://www.shopeinstein.com/
b2,http://press.princeton.edu/einstein/
b3,http://www.alberteinstein.info/
b4,https://www.google.com/
b5,https://www.google.com/imghp?hl=en&tab=wi
c1,https://maps.google.com/maps?hl=en&tab=wl
c2,https://play.google.com/?hl=en&tab=w8
c3,https://www.youtube.com/?gl=US&tab=w1
c4,https://news.google.com/nwshp?hl=en&tab=wn
c5,https://mail.google.com/mail/?tab=wm
d1,https://drive.google.com/?tab=wo
d2,https://www.google.com/intl/en/options/
d3,http://www.google.com/history/optout?hl=en
d4,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/
d5,https://www.google.com/url?q=https://smallthanks.withgoogle.com/smallthanks/%3Futm_source%3DB2C_hldy18%26utm_medium%3Dhpp%23holiday&amp;source=hpp&amp;id=19009530&amp;ct=3&amp;usg=AFQjCNHPiEzx9nk1pB23ZSKQ4wZFr2iqJw&amp;sa=X&amp;ved=0ahUKEwj449LLyOPeAhXCGTQIHblJAZcQ8IcBCAU
e1,https://plus.google.com/116899029375914044550
e2,https://www.youtube.com/upload
e3,https://tv.youtube.com/?utm_source=youtube_web&amp;utm_medium=ep&amp;utm_campaign=home&amp;ve=34273
e4,https://accounts.google.com/ServiceLogin?hl=en&amp;continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Fhl%3Den%26next%3D%252FAlbertEinstein%26app%3Ddesktop%26feature%3Dsign_in_promo%26action_handle_signin%3Dtrue&amp;passive=true&amp;service=youtube&amp;uilel=3
e5,https://plus.google.com/113008676086454621904
f1,https://www.facebook.com/AlbertEinstein
f2,https://support.google.com/youtube/answer/3046484?hl=en
f3,https://www.youtube.com/yt/about/
f4,https://www.youtube.com/yt/press/
f5,https://www.youtube.com/yt/copyright/
g1,https://www.youtube.com/yt/creators/
g2,https://www.youtube.com/yt/advertise/
g3,https://www.youtube.com/yt/dev/
g4,https://plus.google.com/+youtube
g5,https://www.google.com/intl/en/policies/privacy/
h1,https://www.youtube.com/yt/policyandsafety/
h2,https://support.google.com/youtube/?hl=en
h3,https://accounts.google.com/ServiceLogin?hl=en&amp;continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Fhl%3Den%26next%3D%252FAlbertEinstein%26app%3Ddesktop%26feature%3Dplaylist%26action_handle_signin%3Dtrue&amp;passive=true&amp;service=youtube&amp;uilel=3
h4,https://www.instagram.com/alberteinstein
h5,http://www.onelivemedia.com
i1,https://new.huji.ac.il/en
i2,https://accounts.google.com/ServiceLogin?hl=en&amp;continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26next%3D%252F%253Fgl%253DUS%2526tab%253Dw1%26feature%3Dsign_in_promo%26app%3Ddesktop%26hl%3Den&amp;passive=true&amp;service=youtube&amp;uilel=3
i3,https://accounts.google.com/ServiceLogin?hl=en&amp;continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26next%3D%252F%253Fgl%253DUS%2526tab%253Dw1%26feature%3Dplaylist%26app%3Ddesktop%26hl%3Den&amp;passive=true&amp;service=youtube&amp;uilel=3
i4,https://www.google.com/search/about/
i5,https://itunes.apple.com/app/google-search/id284815942?mt=8
j1,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox
j2,https://support.google.com/websearch?hl=en
j3,https://translate.google.com/about
j4,https://itunes.apple.com/app/google-translate/id414706506?mt=8
j5,https://play.google.com/store/apps/details?id=com.google.android.apps.translate
k1,https://chrome.google.com/webstore/detail/google-translate/aapbdbdomjkkjkaonfhkkikfgjllcleb
k2,https://support.google.com/translate?hl=en
k3,https://www.google.com/chrome/browser/
k4,https://itunes.apple.com/app/chrome-web-browser-by-google/id535886823?mt=8
k5,https://play.google.com/store/apps/details?id=com.android.chrome
l1,https://support.google.com/chrome?hl=en
l2,https://www.google.com/maps/about/
l3,https://www.google.com/maps
l4,https://itunes.apple.com/app/google-maps/id585027354?mt=8
l5,https://play.google.com/store/apps/details?id=com.google.android.apps.maps
m1,https://support.google.com/maps?hl=en
m2,https://www.blog.google/products/maps/now-available-new-ways-explore-google-maps/
m3,https://www.youtube.com/musicpremium
m4,https://music.youtube.com/
m5,https://itunes.apple.com/us/app/youtube-music/id1017492454?mt=8
n1,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music
n2,https://support.google.com/youtubemusic?hl=en
n3,https://support.google.com/chromecast/topic/2994244?hl=en
n4,https://support.google.com/googleplay/answer/4512465
n5,https://play.google.com/store/movies
o1,https://itunes.apple.com/app/google-play-movies-tv/id746894884?mt=8
o2,https://play.google.com/store/apps/details?id=com.google.android.videos
o3,https://chrome.google.com/webstore/detail/google-play-movies-tv/gdijeikdkaembjbdobgfkoidjkpbmlkd?hl=en
o4,https://support.google.com/googleplay/topic/2999726?hl=en
o5,https://www.youtube.com/
